Name ,Region ,LGA Name,Venue type ,"Expenditure
1 Jul 23 - 31 Dec 23","Expenditure
1 Jan 24 - 30 Jun 24","Expenditure
01 Jul 23 - 30 Jun 24","Average EGM Numbers  
in June 2024"
ABRUZZO CLUB,Metro,City of Moreland,Club,926036.38,964002.4,1890038.78,55
ACES SPORTING CLUB,Metro,City of Greater Dandenong,Club,1515499,1359580.66,2875079.66,77
ALBION CHARLES HOTEL,Metro,City of Darebin,Hotel,2345271.35,1917758.99,4263030.34,50
ALBION HOTEL,Metro,City of Greater Dandenong,Hotel,1137936.02,1076528.37,2214464.39,24
ALEXANDRA HOUSE SPORTS CLUB,Country,Shire of Southern Grampians,Club,1267263.41,1290778.69,2558042.0999999996,35
ALL SEASONS INTERNATIONAL HOTEL BENDIGO,Country,City of Greater Bendigo,Hotel,7053282.61,6939177.43,13992460.04,100
ALTONA BOWLING CLUB,Metro,City of Hobsons Bay,Club,981141.64,831032.68,1812174.32,37
ALTONA RSL,Metro,City of Hobsons Bay,Club,2194106.82,2112653.66,4306760.48,58
ALTONA SPORTS CLUB,Metro,City of Hobsons Bay,Club,2387313.47,2170157.16,4557470.630000001,83
AMERICAN HOTEL,Country,Shire of Campaspe,Hotel,847276.99,690645.72,1537922.71,42
AMSTEL GOLF CLUB,Metro,City of Casey,Club,4359431.77,4000695.1,8360126.869999999,80
ANGEL TAVERN,Metro,City of Stonnington,Hotel,0,0,0,0
ANGLESEA GOLF CLUB,Country,Shire of Surf Coast,Club,276233.36,291048.92,567282.28,34
ARARAT RSL,Country,Rural City of Ararat,Club,2476460.4,2465866.19,4942326.59,55
ASHLEY HOTEL,Metro,City of Maribyrnong,Hotel,4847883.41,4695485.1,9543368.51,50
AUSTRAL HOTEL,Country,Shire of Colac-Otway,Hotel,867574.07,863782.84,1731356.91,23
AUSTRALIAN CROATIAN NATIONAL HALL,Country,City of Greater Geelong,Club,1890568.68,1666824.93,3557393.61,30
BACCHUS MARSH GOLF CLUB,Country,Shire of Moorabool,Club,611960.63,587936.68,1199897.31,30
BAIRNSDALE BOWLS CLUB,Country,Shire of East Gippsland,Club,1235872.14,1198073.84,2433945.98,26
BAIRNSDALE CLUB,Country,Shire of East Gippsland,Club,458903.42,488537.26,947440.6799999999,15
BAIRNSDALE RSL,Country,Shire of East Gippsland,Club,3583850.5,3501958.29,7085808.79,51
BAIRNSDALE SPORTING AND CONVENTION CENTR,Country,Shire of East Gippsland,Club,1890437.69,1976032.83,3866470.52,37
BAKERS ARMS HOTEL,Metro,City of Yarra,Hotel,2631148.21,2628544.1,5259692.3100000005,32
BALACLAVA HOTEL,Metro,City of Port Phillip,Hotel,2891126.92,2619545.68,5510672.6,45
BALLARAT CLUB HOTEL,Country,City of Ballarat,Hotel,6889963.74,6624265.4,13514229.14,105
BALLARAT & DISTRICT TROTTING CLUB,Country,City of Ballarat,Club,3075253.96,3022405.87,6097659.83,50
BALLARAT GOLF CLUB,Country,City of Ballarat,Club,1524924.3,1370085.75,2895010.05,31
BALLARAT LEAGUES CLUB,Country,City of Ballarat,Club,1666776.48,1400167.13,3066943.61,54
BATMAN'S HILL ON COLLINS,Metro,City of Melbourne,Hotel,0,0,0,0
BAXTER TAVERN HOTEL MOTEL,Metro,Shire of Mornington Peninsula,Hotel,3799016.47,3442684.63,7241701.1,45
BAYSWATER HOTEL,Metro,City of Knox,Hotel,5856797.76,5022519.13,10879316.89,80
BELL PARK SPORT & RECREATION CLUB,Country,City of Greater Geelong,Club,286665.05,270341.46,557006.51,28
BELL'S HOTEL,Metro,City of Port Phillip,Hotel,1777300.43,1847766.25,3625066.6799999997,40
BENALLA BOWLS CLUB,Country,Rural City of Benalla,Club,1404408.3,1312838.36,2717246.66,50
BENALLA GOLF CLUB,Country,Rural City of Benalla,Club,569735.36,496851.99,1066587.35,25
