LGA Name,LGA,Region,TOTAL Net Expenditure ($),SEIFA DIS Score, SEIFADIS Rank State,SEIFA DIS RANK COUNTRY,SEIFA DIS RANK METRO,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State,SEIFA ADVDIS RANK COUNTRY,SEIFA ADVDIS RANK METRO,Adult Population 2022,Adults per Venue 2022,"EGMs per 1,000 Adults 2022",EXP per Adult 2022,Unemployed Workforce as at June 2022,as at June 2022,Unemployment rate as at June 2022
City of Whittlesea,M26,Metro,139026831.82000002,989.6036133,31,0,5,980.8227931,41,0,5,189810.877672327,18981.0877672327,3.6299289505917023,732.4492332836891,135924,6849,0.05038845237044231
Shire of Nillumbik,M16,Metro,9368870.02,1092.873619,80,0,31,1088.097268,74,0,25,49430.46054385936,24715.23027192968,1.8207396615320535,189.53636921280668,39556,705,0.017822833451309535
Rural City of Ararat,C43,Country,6256569.22,955.2148339,15,12,0,931.8990008,18,16,0,9808.851749039755,4904.425874519878,8.971488432233143,637.8492998033629,5869,258,0.0439597887203953
Shire of Northern Grampians,C14,Country,4590890.100000001,951.3008393,12,9,0,920.6550335,6,5,0,9799.712937256012,4899.856468628006,8.163504432447239,468.47189600285185,6365,253,0.03974862529457973
Borough of Queenscliffe,C1,Country,1176843.4300000002,1082.243248,75,47,0,1067.199476,69,47,0,2884.879446101236,2884.879446101236,10.399048057465082,407.93504615606815,1558,20,0.012836970474967908
City of Greater Geelong,C21,Country,134811043.09,1007.331026,46,38,0,989.5729385,49,42,0,229523.24338904466,9180.929735561785,5.8556161029926885,587.3524663534563,157299,6503,0.04134164870723908
Shire of Corangamite,C3,Country,3785427.4899999993,984.5903646,26,23,0,954.628077,26,23,0,12836.10625978657,6418.053129893285,4.440598951612898,294.90465514913404,8710,136,0.015614236509758898
Shire of Colac-Otway,C18,Country,7723366.709999999,972.58665,21,18,0,938.0508911,19,17,0,18133.30260063746,3626.660520127492,6.066186751669442,425.92168013169817,12067,227,0.01881163503770614
Shire of Hepburn,C26,Country,3491644.65,1006.251286,45,37,0,983.9111418,43,37,0,14158.207654709591,7079.103827354796,4.025933323632212,246.6162903634584,8262,247,0.029895908980876303
Shire of Moorabool,C22,Country,10391902.959999999,1017.233908,51,40,0,987.1572238,46,39,0,31104.797304095384,10368.265768031795,3.5364319826484434,334.0932544393002,22352,712,0.03185397279885469
Shire of Central Goldfields,C31,Country,8278358.6899999995,897.5571127,2,1,0,867.2320061,1,1,0,11304.667984694159,5652.333992347079,8.757444281781654,732.2956057805854,5451,491,0.09007521555677857
Shire of Mount Alexander,C47,Country,3171764.14,1007.453034,47,39,0,986.7803982,45,38,0,17271.396181992848,17271.396181992848,1.7369759620984198,183.64260228752556,9657,224,0.023195609402505955
Shire of Mansfield,C49,Country,1652829.2500000002,1027.619655,57,42,0,988.5583631,47,40,0,8490.667846131611,8490.667846131611,4.711054621954643,194.66422193785817,5511,92,0.01669388495735801
Shire of Murrindindi,C41,Country,1612711.97,1004.689869,43,36,0,970.812613,37,34,0,12958.67680052883,12958.67680052883,1.9292093154896628,124.45035822902743,8279,292,0.03526996014011354
